icao24,registration,typecode,age,airline
484c50,PH-EZL,E190,Jan 2010,KLM
00ae82,ZS-YAO,E190,Jan 2011,LNK
009131,ZS-YAP,E190,Jan 2008,LNK
398566,F-HBLG,E190,Jan 2009,AFR
40658a,G-LCYP,E190,Jan 2011,CFE
008081,ZS-YAC,E190,Jan 2008,LNK
4b19f2,HB-JVM,E190,Apr 2010,SWR
451d85,LZ-SOF,E190,Feb 2012,ASL
484b31,PH-EZD,E190,Apr 2009,KLM
4075a2,G-LCYZ,E190,Jan 2010,CFE
7c68cc,VH-UZI,E190,Jan 1983,QLK
484c50,PH-EZL,E190,Jan 2010,KLM
4079d3,G-LCAH,E190,Jul 2012,CFE
7c68d4,VH-UZQ,E190,Jan 2008,QLK
7c68cb,VH-UZH,E190,Jan 2008,QLK
7c7773,VH-XVP,E190,Jan 1994,QLK
461e17,OH-LKH,E190,May 2007,FIN
4081e1,G-CMWI,E190,Feb 2014,KLM
3009b8,I-JENJ,E190,Sep 2010,DLA
48ad80,SP-LMA,E190,Dec 2018,LOT
7c7778,VH-XVU,E190,Jan 2007,QLK
485206,PH-EXE,E190,Nov 2015,KLM
484c52,PH-EZN,E190,Feb 2010,KLM
00a3bb,ZS-YAN,E190,Jan 2008,LNK
398561,F-HBLB,E190,Dec 2006,AFR
40799b,G-LCAC,E190,Jan 2012,CFE
484f80,PH-EZX,E190,Apr 2012,KLM
7c7526,VH-XFC,E190,Feb 2012,VOZ
00b031,ZS-YZC,E190,,LNK
39856c,F-HBLM,E190,Jul 2019,AFR
00b032,ZS-YZA,E190,,LNK
4075a2,G-LCYZ,E190,Jan 2010,CFE
398572,F-HBLS,E190,Jan 2009,AFR
a2da59,N283NN,E75L,Aug 2019,ENY
a33743,N306SY,E75L,,SKW
aa1ffc,N751YX,E75L,Aug 2017,RPA
a9e391,N736YX,E75L,Feb 2016,RPA
a36556,N318JE,E75L,,ENY
a9c380,N728YX,E75L,Sep 2015,RPA
a2a1a5,N269NN,E75L,Jan 2019,ENY
ac03ee,N87302,E75L,Mar 2014,ASH
a8a478,N656QX,E75L,,QXE
aa03a2,N744YX,E75L,Apr 2017,RPA
a82dfb,N626QX,E75L,May 2017,QXE
a314d9,N298SY,E75L,,SKW
a80e4e,N618UX,E75L,Aug 2019,SKW
a7df61,N606UX,E75L,Jun 2019,SKW
ac2b6c,N88301,E75L,Feb 2014,ASH
a379dd,N323ED,E75L,,ENY
a15c54,N187SY,E75L,Jan 2017,SKW
a1be72,N211NN,E75L,Aug 2015,ENY
a82dfb,N626QX,E75L,May 2017,QXE
a81bcc,N621UX,E75L,Sep 2019,SKW
ac045e,N87339,E75L,May 2016,ASH
a831b2,N627QX,E75L,Jul 2017,QXE
a174f7,N193SY,E75L,Sep 2017,SKW
a06e71,N127HQ,E75L,Jan 2008,RPA
a2d6a2,N282NN,E75L,Jul 2019,ENY
a1ed5f,N223NN,E75L,Dec 2015,ENY
a174f7,N193SY,E75L,Sep 2017,SKW
a8a478,N656QX,E75L,,QXE
a546c9,N439YX,E75L,Oct 2014,RPA
ac537f,N89349,E75L,May 2017,ASH
a20c44,N231AN,E75L,Apr 2016,ENY
a31122,N297SY,E75L,May 2019,SKW
a1dc2a,N219NN,E75L,Nov 2015,ENY
ac04c3,N87365,E75L,,SKW
a193aa,N200SY,E75L,Dec 2016,SKW
a28b5b,N263NN,E75L,Nov 2017,ENY
a831b2,N627QX,E75L,Jul 2017,QXE
a2ddac,N284JN,E75L,Sep 2019,ENY
a38641,N326SY,E75L,,SKW
ac2b8e,N88310,E75L,Sep 2014,ASH
a04424,N116SY,E75L,Jun 2014,SKW
a4e181,N413YX,E75L,Nov 2013,RPA
a2a7b5,N270NN,E75L,Jan 2019,ENY
a2644a,N253SY,E75L,Nov 2016,SKW
a9fc34,N742YX,E75L,Mar 2017,RPA
a1c5e0,N213NN,E75L,Sep 2015,ENY
a54312,N438YX,E75L,Sep 2014,RPA
a4f414,N418YX,E75L,Dec 2013,RPA
a247f0,N246SY,E75L,Oct 2016,SKW
a53f5b,N437YX,E75L,Sep 2014,RPA
ac2bd5,N88331,E75L,Dec 2015,ASH
a32f1b,N304KM,E75L,,ENY
a1d45a,N217JQ,E75L,Jan 2007,RPA
a1d4bc,N217NN,E75L,Oct 2015,ENY
a34fe6,N312SY,E75L,,SKW
a0b333,N144SY,E75L,May 2015,SKW
a9b85b,N725YX,E75L,Sep 2015,RPA
a9f87d,N741YX,E75L,Mar 2017,RPA
a25925,N250SY,E75L,Oct 2016,SKW
a8359c,N628SY,E75L,Jan 2024,SKW
a1cd4e,N215NN,E75L,Sep 2015,ENY
a6594f,N508SY,E75L,,SKW
aa52a0,N764YX,E75L,Aug 2023,RPA
ac2bb9,N88328,E75L,Jun 2015,ASH
abb5c9,N85369,E75L,,SKW
a1a986,N206NN,E75L,Jun 2015,ENY
48548c,PH-EXK,E75L,Jan 2017,KLM
ac04c5,N87367,E75L,,SKW
485814,PH-EXT,E75L,Jan 2018,KLM
aa477b,N761YX,E75L,,RPA
a196f3,N201NN,E75L,Feb 2015,ENY
a09a90,N138SY,E75L,Mar 2015,SKW
a087fd,N133SY,E75L,Jan 2015,SKW
a8c489,N664QX,E75L,,QXE
a37ed3,N324SY,E75L,,SKW
a2a1a5,N269NN,E75L,Jan 2019,ENY
a7e6cf,N608UX,E75L,Jan 2019,SKW
a34c68,N311VE,E75L,Dec 2023,ENY
a38641,N326SY,E75L,,SKW
a27a26,N259NN,E75L,Jul 2017,ENY
ac2bf8,N88341,E75L,Jan 2016,ASH
a87942,N645QX,E75L,Jan 2018,QXE
a1e5f1,N221NN,E75L,Nov 2015,ENY
a1460a,N181SY,E75L,Jun 2016,SKW
a335eb,N306DD,E75L,,ENY
aa328f,N756YX,E75L,,RPA
a2fad8,N291SY,E75L,Oct 2018,SKW
abb5a1,N85354,E75L,Aug 2017,ASH
a31890,N299SY,E75L,,SKW
a2bab6,N275SY,E75L,Jun 2018,SKW
48548c,PH-EXK,E75L,Jan 2017,KLM
a2c992,N279SY,E75L,Jan 2018,SKW
a35220,N313BS,E75L,,ENY
a105e8,N165SY,E75L,Oct 2016,SKW
a22b28,N239NN,E75L,Aug 2016,ENY
a34c68,N311VE,E75L,Dec 2023,ENY
a3900e,N329DD,E75L,,ENY
a9b4a4,N724YX,E75L,Aug 2015,RPA
a2b348,N273SY,E75L,Jun 2018,SKW
a06f5a,N127SY,E75L,Nov 2014,SKW
